,City,Country,Longitud,Latitud,Date,Max. Temperature,Humidity,Wind Speed,Cloudiness
0,Saint Anthony,US,-93.22,45.02,1586371289,12.78,34,6.7,90
1,Bredasdorp,ZA,20.04,-34.53,1586371290,16.0,72,6.2,99
2,Porbandar,IN,69.61,21.64,1586371290,25.3,85,6.0,0
3,Troitskoye,RU,84.68,52.98,1586371290,1.94,89,1.71,100
4,Cape Town,ZA,18.42,-33.93,1586370996,17.78,72,4.6,96
5,Narsaq,GL,-46.05,60.92,1586371291,7.0,20,2.1,75
6,Barrow,US,-156.79,71.29,1586371291,-24.0,83,2.6,1
7,Hermanus,ZA,19.23,-34.42,1586371291,17.78,76,3.13,95
8,Champasak,LA,106.0,14.75,1586371292,22.87,85,0.76,76
9,Busselton,AU,115.33,-33.65,1586370978,16.11,51,3.72,4
10,Richards Bay,ZA,32.04,-28.78,1586371292,20.31,73,2.31,60
11,Port Blair,IN,92.75,11.67,1586371292,28.0,73,2.82,35
12,Rettikhovka,RU,132.77,44.17,1586371293,-0.97,96,2.05,99
13,Beringovskiy,RU,179.32,63.05,1586371293,-13.6,87,1.88,0
14,Mataura,NZ,168.86,-46.19,1586371293,10.0,90,6.26,100
15,Ushuaia,AR,-68.3,-54.8,1586371027,20.0,32,2.6,39
16,Opuwo,NA,13.84,-18.06,1586371294,25.17,25,0.41,29
17,Colwyn Bay,GB,-3.73,53.29,1586371294,15.56,66,1.5,22
18,Kapaa,US,-159.32,22.08,1586371294,23.0,88,2.6,75
19,Mar del Plata,AR,-57.56,-38.0,1586371144,16.67,62,5.1,20
20,Levice,SK,18.61,48.22,1586371295,13.0,30,0.18,0
21,Port Alfred,ZA,26.89,-33.59,1586371295,18.71,62,5.93,97
22,Lorengau,PG,147.27,-2.02,1586371296,27.29,79,1.99,72
23,Vaini,TO,-175.2,-21.2,1586371296,26.0,100,23.1,90
24,Balakhta,RU,91.6,55.38,1586371296,1.95,83,1.56,100
25,São Filipe,CV,-24.5,14.9,1586371296,26.11,58,6.88,0
26,Rikitea,PF,-134.97,-23.12,1586371297,24.94,81,5.26,51
27,Chapais,CA,-74.85,49.78,1586371297,-1.0,33,2.6,1
28,Leningradskiy,RU,178.42,69.38,1586371061,-17.62,90,2.93,100
29,Hilo,US,-155.09,19.73,1586371010,23.0,78,1.13,90
30,Pedernales,DO,-71.74,18.04,1586371297,30.0,66,9.3,20
31,Lázaro Cárdenas,MX,-102.2,17.96,1586371298,32.31,33,3.52,40
32,Segezha,RU,34.32,63.74,1586371298,3.48,79,5.41,98
33,Dikson,RU,80.55,73.51,1586371298,-12.44,96,6.29,47
34,Egvekinot,RU,-179.17,66.32,1586371298,-24.31,85,1.28,25
35,Province of Mantua,IT,10.78,45.17,1586371299,20.0,22,2.1,0
36,Daokou,CN,114.51,35.56,1586371299,11.14,73,3.98,99
37,George Town,MY,100.34,5.41,1586371051,28.0,83,2.1,40
38,Praia da Vitória,PT,-27.07,38.73,1586371299,21.0,64,6.04,20
39,Carnarvon,AU,113.63,-24.87,1586371300,24.0,83,3.1,7
40,Bluff,NZ,168.33,-46.6,1586371300,10.0,90,6.26,100
41,General Roca,AR,-67.58,-39.03,1586371300,24.0,31,5.7,0
42,Punta Arenas,CL,-70.92,-53.15,1586371107,19.0,55,5.7,6
43,Khorixas,NA,14.97,-20.37,1586371300,28.37,24,1.92,61
44,Hithadhoo,MV,73.08,-0.6,1586371301,29.76,67,3.85,79
45,Trairi,BR,-39.27,-3.28,1586371026,29.86,71,6.31,96
46,Batagay-Alyta,RU,130.41,67.8,1586371007,-6.94,87,1.31,100
47,Palu,ID,119.87,-0.89,1586371302,24.27,76,0.93,88
48,Avarua,CK,-159.78,-21.21,1586371302,27.0,88,7.7,75
49,Buala,SB,159.59,-8.14,1586371302,27.23,77,1.69,5
50,Mossamedes,AO,12.15,-15.2,1586371302,23.75,57,6.73,0
51,Jamestown,US,-79.24,42.1,1586371303,15.56,66,5.7,20
52,Thompson,CA,-97.86,55.74,1586371265,-1.37,95,2.48,57
53,Tuktoyaktuk,CA,-133.04,69.45,1586371303,-16.17,90,1.99,60
54,Nome,US,-165.41,64.5,1586371303,-20.0,83,1.5,90
55,Kuloy,RU,42.49,61.03,1586371303,-0.22,95,2.42,49
56,Maridi,SS,29.47,4.92,1586371304,24.76,52,1.42,73
57,Buraidah,SA,43.98,26.33,1586371304,29.0,45,3.1,40
58,Arraial do Cabo,BR,-42.03,-22.97,1586371173,24.0,78,6.2,90
59,Bambanglipuro,ID,110.28,-7.95,1586371304,26.61,78,1.44,100
60,Aras,ES,-2.36,42.56,1586371305,18.0,72,3.6,20
61,Cabo San Lucas,MX,-109.91,22.89,1586371215,30.0,44,2.1,90
62,Dicabisagan,PH,122.42,17.08,1586371305,24.18,82,2.8,53
63,Isangel,VU,169.27,-19.55,1586371265,24.83,77,7.73,16
64,Marsh Harbour,BS,-77.06,26.54,1586371305,25.51,72,0.97,11
65,Kholtoson,RU,103.31,50.3,1586371306,-0.7,57,1.66,18
66,Atuona,PF,-139.03,-9.8,1586371306,28.12,77,6.88,0
67,Salalah,OM,54.09,17.02,1586371114,27.0,83,2.1,0
68,Spring Valley,US,-115.25,36.11,1586371306,21.0,29,6.7,40
69,Esperance,AU,121.9,-33.87,1586371306,20.06,61,7.94,37
70,Qaanaaq,GL,-69.36,77.48,1586371101,-8.48,85,3.93,100
71,Palmer,US,-72.33,42.16,1586371307,13.33,50,1.8,75
72,Bulata,PH,122.4,9.86,1586371307,27.06,79,2.76,0
73,Butaritari,KI,172.79,3.07,1586371180,28.61,79,6.69,100
74,Xining,CN,101.77,36.62,1586371308,5.52,21,0.66,60
75,Aranzazu,CO,-75.49,5.27,1586371308,28.0,64,1.5,75
76,Kavieng,PG,150.8,-2.57,1586371308,28.33,75,2.54,54
77,Albany,US,-73.97,42.6,1586371308,13.89,50,3.1,90
78,Makakilo City,US,-158.09,21.35,1586371309,24.0,83,1.5,75
79,Coquimbo,CL,-71.34,-29.95,1586371086,18.0,77,3.1,90
80,Chara,RU,118.26,56.91,1586371309,-3.33,80,0.53,38
81,Morant Bay,JM,-76.41,17.88,1586371309,30.0,70,7.2,20
82,Chicama,PE,-79.15,-7.84,1586371310,23.0,78,4.6,75
83,Yellowknife,CA,-114.35,62.46,1586371245,-5.0,90,5.36,0
84,Chui,UY,-53.46,-33.7,1586371310,17.38,63,6.36,96
85,Mardin,TR,40.74,37.31,1586371310,11.11,62,0.51,48
86,West Linton,GB,-3.36,55.75,1586371311,14.44,66,5.7,75
87,Manakara,MG,48.02,-22.13,1586371311,24.27,89,3.26,4
88,Aquidauana,BR,-55.79,-20.47,1586371311,30.56,28,2.51,0
89,Petropavlivka,UA,36.44,48.46,1586371312,10.52,54,5.52,1
90,Bud,US,-86.18,39.45,1586371312,26.67,44,3.1,1
91,Chernogorsk,RU,91.28,53.82,1586371312,9.0,61,8.0,98
92,São João da Barra,BR,-41.05,-21.64,1586371312,23.0,83,4.1,90
93,Port Elizabeth,ZA,25.57,-33.92,1586371160,16.0,87,2.6,97
94,Kloulklubed,PW,134.26,7.04,1586371313,27.62,77,4.45,12
95,Faya,SA,42.45,18.39,1586371314,21.0,52,2.1,0
96,College,US,-147.8,64.86,1586371176,-6.11,52,0.49,75
97,Lopukhiv,UA,23.96,48.37,1586371314,7.94,52,0.93,0
98,Fairbanks,US,-147.72,64.84,1586371202,-6.11,52,0.49,75
99,Florø,NO,5.03,61.6,1586371314,6.0,75,7.2,40
